Item,Description,Type,Lot No.,Exp Date,Cost,Quantity On Hand,Quantity On Sales Order,Quantity On Purchase Order,U/M
"Antone Products:Antone Consumables:Cal-1 (230928 (1), 2025-09-27)",DH Cal-1 480ml,Inventory Part,230928 (1),2025-09-27, 0.00 ,0.00,0.00,0.00,bottle (bottle)
"Antone Products:Antone Consumables:Cal-1 (231016, 2025-10-15)",DH Cal-1 480ml,Inventory Part,231016,2025-10-15, 0.00 ,0.00,0.00,0.00,bottle (bottle)
"Antone Products:Antone Consumables:Cal-1 (231107, 2025-11-06)",DH Cal-1 480ml,Inventory Part,231107,2025-11-06, 812.50 ,0.00,0.00,0.00,bottle (bottle)
"Antone Products:Antone Consumables:Cal-2 (231102, 2025-11-01)",DH Cal-2 200ml,Inventory Part,231102,2025-11-01, 812.50 ,0.00,0.00,0.00,bottle (bottle)
Antone Products:Antone Consumables:Cl (23K107),DH Cl Electrode,Inventory Part,23K107,," 3,900.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (23K108),DH Cl Electrode,Inventory Part,23K108,," 3,900.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (24C297),DH Cl Electrode,Inventory Part,24C297,," 3,900.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (24C298),DH Cl Electrode,Inventory Part,24C298,," 3,900.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (24C299),DH Cl Electrode,Inventory Part,24C299,," 3,900.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (24C300),DH Cl Electrode,Inventory Part,24C300,," 3,900.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (24C301),DH Cl Electrode,Inventory Part,24C301,," 3,900.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (24C302),DH Cl Electrode,Inventory Part,24C302,," 3,900.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:CL (24J136),DH Cl Electrode,Inventory Part,24J136,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:CL (24J137),DH Cl Electrode,Inventory Part,24J137,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:CL (24J138),DH Cl Electrode,Inventory Part,24J138,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:CL (24J139),DH Cl Electrode,Inventory Part,24J139,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:CL (24J140),DH Cl Electrode,Inventory Part,24J140,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B130),DH Cl Electrode,Inventory Part,25B130,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B131),DH Cl Electrode,Inventory Part,25B131,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B132),DH Cl Electrode,Inventory Part,25B132,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B133),DH Cl Electrode,Inventory Part,25B133,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B134),DH Cl Electrode,Inventory Part,25B134,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B135),DH Cl Electrode,Inventory Part,25B135,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B136),DH Cl Electrode,Inventory Part,25B136,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B137),DH Cl Electrode,Inventory Part,25B137,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B138),DH Cl Electrode,Inventory Part,25B138,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B139),DH Cl Electrode,Inventory Part,25B139,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B140),DH Cl Electrode,Inventory Part,25B140,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B141),DH Cl Electrode,Inventory Part,25B141,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B142),DH Cl Electrode,Inventory Part,25B142,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B143),DH Cl Electrode,Inventory Part,25B143,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Cl (25B144),DH Cl Electrode,Inventory Part,25B144,," 4,200.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:ISE-I07 (21G118),DH Reference Electrode SN: 21G118,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:ISE-I07 (21G119),DH Reference Electrode SN:21G119,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:ISE-I07 (21G120),DH Reference Electrode (21G120),Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:ISE-I07 (21G121),DH Reference Electrode (21G121),Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:ISE-I07 (21G122),DH Reference Electrode (21G122),Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (24C306),DH K Electrode,Inventory Part,24C306,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (24C314),DH K Electrode,Inventory Part,24C314,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (24C316),DH K Electrode,Inventory Part,24C316,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (24C317),DH K Electrode,Inventory Part,24C317,," 4,225.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (24C318),DH K Electrode,Inventory Part,24C318,," 4,225.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (24C319),DH K Electrode,Inventory Part,24C319,," 4,225.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (24C320),DH K Electrode,Inventory Part,24C320,," 4,225.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (24J127),DH K Electrode,Inventory Part,24J127,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (24J128),DH K Electrode,Inventory Part,24J128,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (24J129),DH K Electrode,Inventory Part,24J129,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B100),DH K Electrode,Inventory Part,25B100,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B101),DH K Electrode,Inventory Part,25B101,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B102),DH K Electrode,Inventory Part,25B102,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B103),DH K Electrode,Inventory Part,25B103,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B104),DH K Electrode,Inventory Part,25B104,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B105),DH K Electrode,Inventory Part,25B105,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B106),DH K Electrode,Inventory Part,25B106,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B107),DH K Electrode,Inventory Part,25B107,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B108),DH K Electrode,Inventory Part,25B108,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B109),DH K Electrode,Inventory Part,25B109,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B110),DH K Electrode,Inventory Part,25B110,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B111),DH K Electrode,Inventory Part,25B111,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B112),DH K Electrode,Inventory Part,25B112,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B113),DH K Electrode,Inventory Part,25B113,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:K (25B114),DH K Electrode,Inventory Part,25B114,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (22G278),DH Na Electrode,Inventory Part,22G278,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23F427),DH Na Electrode,Inventory Part,23F427,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23F428),DH Na Electrode,Inventory Part,23F428,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23F429),DH Na Electrode,Inventory Part,23F429,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23F430),DH Na Electrode,Inventory Part,23F430,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23F431),DH Na Electrode,Inventory Part,23F431,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23F432),DH Na Electrode,Inventory Part,23F432,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23F433),DH Na Electrode,Inventory Part,23F433,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23F434),DH Na Electrode,Inventory Part,23F434,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23F435),DH Na Electrode,Inventory Part,23F435,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23K098),DH Na Electrode,Inventory Part,23K098,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23K099),DH Na Electrode,Inventory Part,23K099,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23K100),DH Na Electrode,Inventory Part,23K100,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23K101),DH Na Electrode,Inventory Part,23K101,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23K102),DH Na Electrode,Inventory Part,23K102,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23K103),DH Na Electrode,Inventory Part,23K103,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23K104),DH Na Electrode,Inventory Part,23K104,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (23K105),DH Na Electrode,Inventory Part,23K105,," 4,225.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (24C292),DH Na Electrode,Inventory Part,24C292,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (24C293),DH Na Electrode,Inventory Part,24C293,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (24C294),DH Na Electrode,Inventory Part,24C294,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (24C295),DH Na Electrode,Inventory Part,24C295,," 4,225.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (24C296),DH Na Electrode,Inventory Part,24C296,," 4,225.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (24J130),DH Na Electrode,Inventory Part,24J130,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (24J131),DH Na Electrode,Inventory Part,24J131,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (24J132),DH Na Electrode,Inventory Part,24J132,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (24J133),DH Na Electrode,Inventory Part,24J133,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (24J134),DH Na Electrode,Inventory Part,24J134,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (24J135),DH Na Electrode,Inventory Part,24J135,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B115),DH Na Electrode,Inventory Part,25B115,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B116),DH Na Electrode,Inventory Part,25B116,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B117),DH Na Electrode,Inventory Part,25B117,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B118),DH Na Electrode,Inventory Part,25B118,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B119),DH Na Electrode,Inventory Part,25B119,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B120),DH Na Electrode,Inventory Part,25B120,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B121),DH Na Electrode,Inventory Part,25B121,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B122),DH Na Electrode,Inventory Part,25B122,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B123),DH Na Electrode,Inventory Part,25B123,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B124),DH Na Electrode,Inventory Part,25B124,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B125),DH Na Electrode,Inventory Part,25B125,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B126),DH Na Electrode,Inventory Part,25B126,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B127),DH Na Electrode,Inventory Part,25B126,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B128),DH Na Electrode,Inventory Part,25B128,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Na (25B129),DH Na Electrode,Inventory Part,25B129,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (21G114),DH pH Electrode,Inventory Part,21G114,, 0.00 ,0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (22L298),DH pH Electrolde,Inventory Part,22L298,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23C327),DH pH Electrode,Inventory Part,23C327,, 0.00 ,0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23F473),DH pH Electrode,Inventory Part,23F473,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23F474),DH pH Electrode,Inventory Part,23F474,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23F475),DH pH Electrode,Inventory Part,23F475,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23F476),DH pH Electrode,Inventory Part,23F476,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23F477),DH pH Electrode,Inventory Part,23F477,," 4,550.00 ",2.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23F478),DH pH Electrode,Inventory Part,23F478,," 4,550.00 ",-1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23F479),DH pH Electrode,Inventory Part,23F479,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23F480),DH pH Electrode,Inventory Part,23F480,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23F481),DH pH Electrode,Inventory Part,23F481,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23F482),DH pH Electrode,Inventory Part,23F482,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23F483),DH pH Electrode,Inventory Part,23F483,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23F484),DH pH Electrode,Inventory Part,23F484,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23K115),DH pH Electrode,Inventory Part,23K115,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23K116),DH pH Electrode,Inventory Part,23K116,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23K117),DH pH Electrode,Inventory Part,23K117,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23K118),DH pH Electrode,Inventory Part,23K118,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23K119),DH pH Electrode,Inventory Part,23K119,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (23K120),DH pH Electrode,Inventory Part,23K120,," 4,550.00 ",0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (24C327),DH pH Electrode,Inventory Part,24C327,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (24C328),DH pH Electrode,Inventory Part,24C328,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (24C329),DH pH Electrode,Inventory Part,24C329,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (24C330),DH pH Electrode,Inventory Part,24C330,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (25B160),DH pH Electrode,Inventory Part,25B160,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (25B161),DH pH Electrode,Inventory Part,25B161,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (25B162),DH pH Electrode,Inventory Part,25B162,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (25B163),DH pH Electrode,Inventory Part,25B163,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (25B164),DH pH Electrode,Inventory Part,25B164,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (25B165),DH pH Eletcrode,Inventory Part,25B165,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (25B166),DH pH Electrode,Inventory Part,25B166,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (25B167),DH pH electrode,Inventory Part,25B167,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (25B168),DH pH Electrode,Inventory Part,25B168,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH (25B169),DH pH Electrode,Inventory Part,25B169,," 4,550.00 ",1.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:pH(23F470),DH pH Electrode,Inventory Part,23F470,, 0.00 ,0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Pump Motor,DH Pump Motor Assembly,Inventory Part,,, 0.00 ,0.00,0.00,0.00,pc (pc)
Antone Products:Antone Consumables:Ref Elec,DH Reference Electrode Filling Solution,Inventory Part,,, 0.00 ,0.00,0.00,0.00,bottle (bottle)
Antone Products:Antone Consumables:Ref Elec (21G315),DH Reference Electrode (21G315),Inventory Part,,," 4,550.00 ",0.00,0.00,0.00,unit (unit)
Antone Products:Antone Consumables:Ref Elec (21G316),DH Reference Electrode (21G316) -KEEPSAFE - DR20119,Inventory Part,,," 4,550.00 ",0.00,0.00,0.00,unit (unit)
Antone Products:Antone Consumables:Ref Elec (21G317),DH Reference Electrode (21G317),Inventory Part,,," 4,550.00 ",0.00,0.00,0.00,unit (unit)
Antone Products:Antone Consumables:Ref Elec (21G318),DH Reference Electrode (21G318),Inventory Part,,," 4,550.00 ",0.00,0.00,0.00,unit (unit)
